question,label
what is python,python
how do i create a variable,python
what is a loop in python,python
what is a function in python,python
how do i print something in python,python
what is a list in python,python
what is a dictionary in python,python
what is git,git
what is github,git
how do i create a git repository,git
what is git commit,git
what is git status,git
how do i push code to github,git
what is artificial intelligence,ai
what is ai,ai
what is machine learning,ai
what is responsible ai,ai
can ai make mistakes,ai
what is training data,ai
hello,greeting
hi, greeting
hey,greeting
thank you,thanks
thanks,thanks
bye,bye
goodbye,bye,bye.
